name,price,quantity
GRAVY PEPPERED DMX,19.89,79
DZ EGG USDANAA,47.25,47
GAL MILK,24.13,48
WHOLE,32.63,97
CREAM LOAF ORIGINAI,68.45,68
CHEESE HAVARTI SLICE,71.4,40
BEK CUP FOAM,50.82,50
ORC WHIT,50.65,50
BEK CUP FOAM,50.82,50
ORC WHIT,50.65,50
TOnATO APAPE,21.4,8
CFEC BCTS E FD FTT TAFFCZ TRTES,37.28,147
LB ORANGE CHOICE,13.07,31
VINYAR SHRED,16.8,16
RKN,28.01,28
TOnATO APAPE,21.4,8
CFEC BCTS E FD FTT TAFFCZ TRTES,37.28,147
LB ORANGE CHOICE,13.07,31
VINYAR SHRED,16.8,16
RKN,28.01,28
CB,56.0,0
TOTAL WEIGHT,50.98,917
OZ,62.11,186
CNTRYB,76.98,153
CB,29.63,29
A,2.05,284
UB TOTAL SOR,8.72,174
A OURIFIED,7.77,15
UREL NACHOISLIC,92.17,32
EPPER UALAPE RANSA DS-O,34.73,34
BEAN GREEN,42.11,84
ELLING,80.05,80
ET,13.67,95
GRANSA,13.58,13
OZ HORSERADISH EXTRA HOT FOLKOF,3.66,33
,60.0,60
CHOLUL,33.63,134
HEADCT,49.24,49
CB,56.0,0
TOTAL WEIGHT,50.98,917
OZ,62.11,186
CNTRYB,76.98,153
CB,29.63,29
A,2.05,284
UB TOTAL SOR,8.72,174
A OURIFIED,7.77,15
UREL NACHOISLIC,92.17,32
EPPER UALAPE RANSA DS-O,34.73,34
BEAN GREEN,42.11,84
ELLING,80.05,80
ET,13.67,95
GRANSA,13.58,13
OZ HORSERADISH EXTRA HOT FOLKOF,3.66,33
,60.0,60
CHOLUL,33.63,134
HEADCT,49.24,49
OZ ORNGREAD MIX,30.98,92
LB HOR,38.56,385
OZ DESKON CAR,27.02,27
OZ ORNGREAD MIX,30.98,92
LB HOR,38.56,385
OZ DESKON CAR,27.02,27
,36.62,21
GE W,87.75,1
OR GINA ORDER REP ACED BY EQUIVALENT OF,1.0,12
LB CHEESE AMERICAN SLICED,49.48,49
BL CHEESE AMERTCAN LOAF WHTTE,75.85,455
ICKAIN BAMBOO WNDTTED,20.93,20
COP SOOFPD BLACA,30.42,14
,0.82,50
,36.62,21
GE W,87.75,1
OR GINA ORDER REP ACED BY EQUIVALENT OF,1.0,12
LB CHEESE AMERICAN SLICED,49.48,49
BL CHEESE AMERTCAN LOAF WHTTE,75.85,455
ICKAIN BAMBOO WNDTTED,20.93,20
COP SOOFPD BLACA,30.42,14
,0.82,50
LOW TEMP MACH DETG X GAL Full Cases,0.0,519
J Single Units,0.0,276
SOLUTION CL GAL Total Units Container Deposits,0.0,57
BE,30.0,5
Signature,30.0,10
Summary Checked Fixed,30.0,5
GENERAL,30.0,5
WAsm PRESSURE Rimse Pressure DRAIN,50.0,5
Single Units,95.4,0
,74.75,427
Net,71.9,3
BE,30.0,5
Signature,30.0,10
Fixed,30.0,5
GENERAL,30.0,5
WASH PRESSURE RINSE PRESSURE DRAIN,50.0,5
LOW TEMP MACH DETG X GAL Full Cases,0.0,519
J Single Units,0.0,276
SOLUTION CL GAL Total Units Container Deposits,0.0,57
BE,30.0,5
Signature,30.0,10
Summary Checked Fixed,30.0,5
GENERAL,30.0,5
WAsm PRESSURE Rimse Pressure DRAIN,50.0,5
Single Units,95.4,0
,74.75,427
Net,71.9,3
BE,30.0,5
Signature,30.0,10
Fixed,30.0,5
GENERAL,30.0,5
WASH PRESSURE RINSE PRESSURE DRAIN,50.0,5
),6.56,20
),6.56,20
,47.23,4
Z PEEF PNICCY STEA RTBEYE,47.65,38
CT,66.51,66
BCTN BROCCOLI FLORET ICELESS,24.03,48
LB OTN COLE SLAWMIX SHREDDED F,20.86,20
FOODSERVICE PAC,36.14,36
CT,24.62,73
r ONION GREEN ICELESS,23.62,28
,17.93,155
LB YELLOW ROOMBO,20.0,39
C,20.0,169
-,38.02,205
,29.76,15
OKRA BRD IGHT STHRN,15.4,133
REN,37.94,682
EN CAKE SERVE,99.8,43
ANGUS FRE,36.03,360
BEEF TOP SIRLOIN STEAK BOZ TATAL WEIGHI,73.2,11
BEEF PHILLY STEAK RIBEYE,47.65,381
,47.23,4
Z PEEF PNICCY STEA RTBEYE,47.65,38
CT,66.51,66
BCTN BROCCOLI FLORET ICELESS,24.03,48
LB OTN COLE SLAWMIX SHREDDED F,20.86,20
FOODSERVICE PAC,36.14,36
CT,24.62,73
r ONION GREEN ICELESS,23.62,28
,17.93,155
LB YELLOW ROOMBO,20.0,39
C,20.0,169
-,38.02,205
,29.76,15
OKRA BRD IGHT STHRN,15.4,133
REN,37.94,682
EN CAKE SERVE,99.8,43
ANGUS FRE,36.03,360
BEEF TOP SIRLOIN STEAK BOZ TATAL WEIGHI,73.2,11
BEEF PHILLY STEAK RIBEYE,47.65,381
,2.05,292
CT PA,90.65,543
MAYONNASLTSQUEEZE UPSIDE,71.85,143
GA,56.91,56
,2.05,292
CT PA,90.65,543
MAYONNASLTSQUEEZE UPSIDE,71.85,143
GA,56.91,56
OZ BEASNINC BCACKENED RED FI,36.65,36
LB CEEA GRIS QuICK,22.37,45
BEAN GREEN CUT BLUE LAKE,34.73,69
BEAN PINTO TRIPLE,13.67,7
